DateTime,Games
2006,71
2007,136
2008,242
2009,379
2010,276
2011,280
2012,301
2013,434
2014,1716
2015,2829
2016,4681
2017,6962
2018,8926
2019,8173
2020,9834
2021,11584
2022,11944
